Argument Shapes,Count,Device,Duration (us),Name,Percent
"float32[1, 128, 256], float32[1, 128, 1], float32[1, 128, 256]",1,"metal0",196.875,"fused_reshape14_snake1_reshape141",0.420501
"float32[1, 128, 256]",1,"metal0",77.667,"vm.builtin.cached_padding_1d_update",0.165887
"float32[1, 128, 256]",1,"metal0",45.208,"vm.builtin.cached_padding_1d_update",0.0965587
"float32[1, 128, 256]",1,"metal0",334.375,"vm.builtin.cached_padding_1d_update",0.714184
"float32[1, 128, 256], float32[128, 128, 1], float32[1, 128, 1], float32[1, 128, 256], float32[1, 128, 256]",1,"metal0",194,"fused_conv1d25_add21_add22_add231",0.41436
"float32[1, 128, 256]",1,"metal0",112.291,"vm.builtin.cached_padding_1d_update",0.23984
"float32[1, 128, 256], float32[1, 128, 1], float32[1, 128, 256]",1,"metal0",187.541,"fused_reshape14_snake1_reshape141",0.400565
"float32[1, 128, 256]",1,"metal0",54.292,"vm.builtin.cached_padding_1d_update",0.115961
"float32[1, 128, 256]",1,"metal0",220.041,"vm.builtin.cached_padding_1d_update",0.469981
"float32[1, 128, 310], float32[128, 128, 7], float32[1, 128, 1], float32[1, 128, 256]",1,"metal0",211.708,"fused_conv1d27_add211",0.452182
"float32[1, 128, 256], float32[1, 128, 1], float32[1, 128, 256]",1,"metal0",195.709,"fused_reshape14_snake1_reshape141",0.41801
"float32[1, 128, 256]",1,"metal0",56.834,"vm.builtin.cached_padding_1d_update",0.12139
"float32[1, 128, 256]",1,"metal0",57.5,"vm.builtin.cached_padding_1d_update",0.122813
"float32[1, 128, 256]",1,"metal0",326.583,"vm.builtin.cached_padding_1d_update",0.697541
"float32[1, 128, 256], float32[128, 128, 1], float32[1, 128, 1], float32[1, 128, 256], float32[1, 128, 256]",1,"metal0",196.375,"fused_conv1d25_add21_add22_add231",0.419433
"float32[1, 128, 256], float32[1, 128, 1], float32[1, 128, 256]",1,"metal0",211.542,"fused_reshape14_snake1_reshape141",0.451828
"float32[1, 128, 256]",1,"metal0",325.041,"vm.builtin.cached_padding_1d_update",0.694248
"float32[1, 128, 256]",1,"metal0",226.834,"vm.builtin.cached_padding_1d_update",0.48449
"float32[1, 128, 260], float32[256, 128, 8], float32[1, 256, 1], float32[1, 256, 64]",1,"metal0",206.292,"fused_conv1d28_add241",0.440614
"float32[1, 256, 64]",1,"metal0",102,"vm.builtin.cached_padding_1d_update",0.217859
"float32[1, 256, 64], float32[1, 256, 1], float32[1, 256, 64]",1,"metal0",185.208,"fused_reshape16_snake2_reshape161",0.395582
"float32[1, 256, 64]",1,"metal0",59.625,"vm.builtin.cached_padding_1d_update",0.127352
"float32[1, 256, 64]",1,"metal0",206.125,"vm.builtin.cached_padding_1d_update",0.440258
"float32[1, 256, 70], float32[256, 256, 7], float32[1, 256, 1], float32[1, 256, 64]",1,"metal0",216.542,"fused_conv1d29_add241",0.462507
"float32[1, 256, 64], float32[1, 256, 1], float32[1, 256, 64]",1,"metal0",364.334,"fused_reshape16_snake2_reshape161",0.778173
"float32[1, 256, 64]",1,"metal0",61.375,"vm.builtin.cached_padding_1d_update",0.131089
"float32[1, 256, 64]",1,"metal0",53.75,"vm.builtin.cached_padding_1d_update",0.114803
"float32[1, 256, 64]",1,"metal0",352.542,"vm.builtin.cached_padding_1d_update",0.752986
"float32[1, 256, 64], float32[256, 256, 1], float32[1, 256, 1], float32[1, 256, 64], float32[1, 256, 64]",1,"metal0",196.167,"fused_conv1d30_add24_add25_add261",0.418989
"float32[1, 256, 64]",1,"metal0",54,"vm.builtin.cached_padding_1d_update",0.115337
"float32[1, 256, 64], float32[1, 256, 1], float32[1, 256, 64]",1,"metal0",210.667,"fused_reshape16_snake2_reshape161",0.449959
"float32[1, 256, 64]",1,"metal0",55.833,"vm.builtin.cached_padding_1d_update",0.119252
"float32[1, 256, 64]",1,"metal0",251.875,"vm.builtin.cached_padding_1d_update",0.537974
"float32[1, 256, 82], float32[256, 256, 7], float32[1, 256, 1], float32[1, 256, 64]",1,"metal0",255.875,"fused_conv1d31_add241",0.546518
"float32[1, 256, 64], float32[1, 256, 1], float32[1, 256, 64]",1,"metal0",163.167,"fused_reshape16_snake2_reshape161",0.348505
